CUSTOMER_ID,CUSTOMER_NAME,SEGMENT
AB-100151,AARON BERGMAN,Consumer
AH-100301,AARON HAWKINS,Corporate
AS-100451,AARON SMAYLING,Corporate
AB-100601,ADAM BELLAVANCE,Home Office
AH-100751,ADAM HART,Corporate
AS-100901,ADAM SHILLINGSBURG,Consumer
AB-101051,ADRIAN BARTON,Consumer
AH-101201,ADRIAN HANE,Home Office
AS-101351,ADRIAN SHAMI,Home Office
AB-101501,AIMEE BIXBY,Consumer
AB-101651,ALAN BARNES,Consumer
AD-101801,ALAN DOMINGUEZ,Home Office
AH-101951,ALAN HAINES,Corporate
AH-102101,ALAN HWANG,Consumer
AS-102251,ALAN SCHOENBERGER,Corporate
AS-102401,ALAN SHONELY,Consumer
AB-102551,ALEJANDRO BALLENTINE,Home Office
AG-102701,ALEJANDRO GROVE,Consumer
AS-102851,ALEJANDRO SAVELY,Corporate
AG-103001,ALEKSANDRA GANNAWAY,Corporate
AA-103151,ALEX AVILA,Consumer
AG-103301,ALEX GRAYSON,Consumer
AR-103451,ALEX RUSSELL,Corporate
AM-103601,ALICE MCCARTHY,Corporate
AA-103751,ALLEN ARMOLD,Consumer
AG-103901,ALLEN GOLDENEN,Consumer
AR-104051,ALLEN ROSENBLATT,Corporate
AC-104201,ALYSSA CROUSE,Corporate
AT-104351,ALYSSA TATE,Home Office
AC-104501,AMY COX,Consumer
AH-104651,AMY HUNT,Consumer
AA-104801,ANDREW ALLEN,Consumer
AG-104951,ANDREW GJERTSEN,Corporate
AR-105101,ANDREW ROBERTS,Consumer
AG-105251,ANDY GERBODE,Corporate
AR-105401,ANDY REITER,Consumer
AY-105551,ANDY YOTOV,Corporate
AR-105701,ANEMONE RATNER,Consumer
AH-105851,ANGELE HOOD,Consumer
AB-106001,ANN BLUME,Corporate
AC-106151,ANN CHONG,Corporate
AS-106301,ANN STEELE,Home Office
AA-106451,ANNA ANDREADI,Consumer
AC-106601,ANNA CHUNG,Consumer
AG-106751,ANNA GAYMAN,Consumer
AH-106901,ANNA HÄBERLIN,Corporate
AM-107051,ANNE MCFARLAND,Consumer
AP-107201,ANNE PRYOR,Home Office
AT-107351,ANNIE THURMAN,Consumer
AZ-107501,ANNIE ZYPERN,Consumer
AG-107651,ANTHONY GARVERICK,Home Office
AJ-107801,ANTHONY JACOBS,Corporate
AJ-107951,ANTHONY JOHNSON,Corporate
AO-108101,ANTHONY O'DONNELL,Corporate
AR-108251,ANTHONY RAWLES,Corporate
AW-108401,ANTHONY WITT,Consumer
AI-108551,ARIANNE IRVING,Consumer
AF-108701,ART FERGUSON,Consumer
AF-108851,ART FOSTER,Consumer
AG-109001,ARTHUR GAINER,Consumer
AP-109151,ARTHUR PRICHEP,Consumer
AW-109301,ARTHUR WIEDIGER,Home Office
AJ-109451,ASHLEY JARBOE,Consumer
AJ-109601,ASTREA JONES,Consumer
BF-109751,BARBARA FISHER,Corporate
BB-109901,BARRY BLUMSTEIN,Corporate
BF-10051,BARRY FRANZ,Home Office
BF-10201,BARRY FRANZÖSISCH,Corporate
BG-10351,BARRY GONZALEZ,Consumer
BP-10501,BARRY POND,Corporate
BW-10651,BARRY WEIRICH,Consumer
BF-10801,BART FOLK,Consumer
BP-10951,BART PISTOLE,Corporate
BW-11101,BART WATTERS,Corporate
BC-111251,BECKY CASTELL,Home Office
BM-111401,BECKY MARTIN,Consumer
BP-111551,BECKY PAK,Consumer
BF-111701,BEN FERRER,Home Office
BP-111851,BEN PETERMAN,Corporate
BW-112001,BEN WALLACE,Consumer
BF-112151,BENJAMIN FARHAT,Home Office
BP-112301,BENJAMIN PATTERSON,Consumer
BV-112451,BENJAMIN VENIER,Corporate
BK-112601,BERENIKE KAMPE,Consumer
BF-112751,BETH FRITZLER,Corporate
BP-112901,BETH PAIGE,Consumer
BT-113051,BETH THOMPSON,Home Office
BD-113201,BILL DONATELLI,Consumer
BE-113351,BILL EPLETT,Home Office
BO-113501,BILL OVERFELT,Corporate
BS-113651,BILL SHONELY,Corporate
BS-113801,BILL STEWART,Corporate
BT-113951,BILL TYLER,Corporate
BE-114101,BOBBY ELIAS,Consumer
BO-114251,BOBBY ODEGARD,Consumer
BT-114401,BOBBY TRAFTON,Consumer
BE-114551,BRAD EASON,Home Office
BN-114701,BRAD NORVELL,Corporate
BT-114851,BRAD THOMAS,Home Office
BD-115001,BRADLEY DRUCKER,Consumer
BN-115151,BRADLEY NGUYEN,Consumer
BT-115301,BRADLEY TALBOTT,Home Office
BB-115451,BRENDA BOWMAN,Corporate
BD-115601,BRENDAN DODSON,Home Office
BM-115751,BRENDAN MURRY,Corporate
BS-115901,BRENDAN SWEED,Corporate
BD-116051,BRIAN DAHLEN,Consumer
BD-116201,BRIAN DECHERNEY,Consumer
BD-116351,BRIAN DERR,Consumer
BM-116501,BRIAN MOSS,Corporate
BS-116651,BRIAN STUGART,Consumer
BT-116801,BRIAN THOMPSON,Consumer
BG-116951,BROOKE GILLINGHAM,Corporate
BH-117101,BROSINA HOFFMAN,Consumer
